,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
4366,1.0,0.5,0.33333333333333326,16,1,-0.6666666666666667,1.0,0.5,1,1,0.4375,0,0,0,0.6000000000000001,-0.5,-0.33333333333333337,0.5,1.0,-1.0,0.7142857142857142,0.75,0,0,0,-0.33333333333333337,0.5,-1.0,0,0
14905,0.8181818181818183,-1.0,0.33333333333333326,16,0,-0.6666666666666667,0.8181818181818183,0.0,1,1,-0.5625,0,1,0,-1.0,-0.5,-1.0,0.5,1.0,1.0,-0.1428571428571429,0.0,0,0,0,1.0,0.5,-1.0,1,1
1195,0.6363636363636365,-1.0,-1.0,9,1,-0.6666666666666667,0.6363636363636365,-1.0,0,1,-0.1875,0,2,1,-0.6,-0.5,0.9999999999999999,0.5,1.0,0.33333333333333326,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,2,0
6504,1.0,0.0,0.0,16,1,1.0,1.0,0.5,1,2,-0.59375,0,2,1,-1.0,-0.5,-1.0,0.5,1.0,1.0,0.4285714285714284,0.0,0,0,0,1.0,0.5,-1.0,2,1
4954,0.8181818181818183,-1.0,0.33333333333333326,9,1,0.33333333333333326,0.8181818181818183,-1.0,1,1,-0.8125,1,1,0,-0.6,-0.5,-0.33333333333333337,0.5,1.0,1.0,-0.1428571428571429,-0.25,0,0,0,0.33333333333333326,0.5,-1.0,1,0
1423,0.09090909090909083,0.0,0.33333333333333326,16,1,1.0,0.09090909090909083,0.5,1,1,-0.46875,1,0,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,1.0,0.4285714285714284,0.0,0,0,0,0.33333333333333326,0.5,-1.0,0,0
5810,0.2727272727272727,0.0,0.6666666666666665,6,1,0.33333333333333326,0.2727272727272727,0.0,0,2,-0.4375,0,0,0,0.6000000000000001,-0.5,0.9999999999999999,0.5,1.0,-1.0,-0.1428571428571429,0.0,0,0,0,1.0,0.5,-1.0,0,0
256,-0.6363636363636364,1.0,-0.33333333333333337,17,1,1.0,-0.2727272727272727,-1.0,1,1,0.03125,0,1,0,1.0,-0.5,0.33333333333333337,0.5,1.0,-1.0,0.7142857142857142,0.5,0,0,0,0.33333333333333326,0.5,-1.0,1,0
13887,-0.4545454545454546,0.0,0.33333333333333326,6,1,-1.0,-0.4545454545454546,0.0,1,1,-0.65625,0,2,1,1.0,-0.5,-0.33333333333333337,0.5,1.0,-1.0,-0.1428571428571429,0.0,0,0,0,1.0,0.5,-1.0,2,0
9323,-0.8181818181818181,1.0,0.6666666666666665,6,1,-1.0,1.0,-1.0,1,1,-0.5,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,1,0
288,-0.2727272727272727,-1.0,0.6666666666666665,12,1,0.6666666666666665,-0.2727272727272727,-1.0,1,1,-0.53125,0,1,0,-0.6,-0.5,0.9999999999999999,0.5,1.0,0.33333333333333326,0.4285714285714284,0.0,0,0,0,-0.33333333333333337,0.5,-1.0,1,0
6633,1.0,0.5,0.0,12,1,0.6666666666666665,0.8181818181818183,-1.0,0,1,0.21875,1,0,0,0.6000000000000001,-0.5,0.33333333333333337,0.5,1.0,1.0,0.4285714285714284,0.5,0,0,0,0.33333333333333326,0.5,-1.0,0,0
6126,0.09090909090909083,-0.5,-1.0,16,1,1.0,0.09090909090909083,0.5,1,1,-0.625,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0,0,0,-1.0,0.5,-1.0,1,0
15067,0.8181818181818183,0.5,-1.0,5,1,1.0,0.8181818181818183,0.5,1,1,-0.375,0,2,1,-0.6,-0.5,-1.0,0.5,1.0,1.0,0.7142857142857142,0.25,0,0,1,1.0,0.5,-1.0,2,0
10373,-0.6363636363636364,0.5,0.33333333333333326,9,1,1.0,-0.2727272727272727,-1.0,1,2,-0.40625,0,2,1,-0.6,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,-0.1428571428571429,0.0,0,0,0,1.0,0.5,0.0,2,0
10378,-0.2727272727272727,-1.0,-0.6666666666666667,9,1,0.33333333333333326,-0.2727272727272727,-0.5,1,1,-0.6875,1,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,1,0
4485,0.6363636363636365,1.0,0.33333333333333326,6,1,0.33333333333333326,-0.6363636363636364,-0.5,1,1,-0.25,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.25,0,0,0,1.0,0.5,-1.0,2,0
9258,0.09090909090909083,-1.0,-1.0,2,1,-0.6666666666666667,0.09090909090909083,-1.0,1,1,-0.40625,1,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,1.0,0.4285714285714284,0.0,0,0,0,-0.33333333333333337,0.5,-1.0,1,0
11317,-0.8181818181818181,-0.5,0.0,6,1,-0.6666666666666667,-0.8181818181818181,-0.5,1,1,-0.28125,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,2,0
5923,-0.6363636363636364,0.0,1.0,6,1,1.0,-0.6363636363636364,0.0,1,1,0.09375,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-1.0,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,2,0
14202,-0.4545454545454546,-0.5,1.0,2,1,-1.0,-0.4545454545454546,-0.5,1,1,-0.0625,0,2,1,-0.19999999999999996,-0.5,-0.33333333333333337,0.5,1.0,-1.0,0.4285714285714284,0.5,0,0,0,1.0,0.5,-1.0,2,0
1232,-0.6363636363636364,-0.5,1.0,6,1,1.0,-0.6363636363636364,-0.5,0,1,0.0,0,0,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,1.0,-0.1428571428571429,0.5,0,0,0,1.0,0.5,-1.0,0,0
14624,-0.09090909090909083,1.0,-1.0,9,1,-0.6666666666666667,-0.8181818181818181,-0.5,1,1,-0.1875,1,0,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.4285714285714284,0.25,0,0,0,0.33333333333333326,0.5,-1.0,0,0
12397,-0.09090909090909083,1.0,-0.33333333333333337,12,1,-0.6666666666666667,-0.8181818181818181,-1.0,1,1,0.03125,1,0,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,-1.0,0.5,-1.0,0,0
2676,-0.8181818181818181,-1.0,0.33333333333333326,12,1,-1.0,-0.8181818181818181,-1.0,1,1,-0.84375,0,0,0,-1.0,-0.5,-0.33333333333333337,0.0,-1.0,1.0,-0.1428571428571429,-0.25,0,0,0,1.0,0.5,-1.0,0,0
1112,-0.8181818181818181,1.0,0.33333333333333326,2,1,-0.6666666666666667,1.0,-1.0,1,1,0.21875,1,0,0,1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,-0.33333333333333337,0.5,-1.0,0,0
5221,-0.4545454545454546,-1.0,-1.0,9,1,0.33333333333333326,0.2727272727272727,-0.5,1,2,-0.59375,0,0,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,0,0
9103,0.6363636363636365,0.0,-0.33333333333333337,12,1,0.6666666666666665,0.6363636363636365,0.5,1,1,-0.5,0,0,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.4285714285714284,0.0,0,0,0,-1.0,0.5,-1.0,0,0
6128,1.0,-1.0,-0.33333333333333337,9,1,-0.6666666666666667,1.0,-1.0,1,2,-0.53125,0,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,-0.1428571428571429,0.0,1,0,0,1.0,0.5,-1.0,1,1
267,-0.4545454545454546,-0.5,-0.6666666666666667,2,1,0.6666666666666665,-0.4545454545454546,-0.5,0,1,-0.5625,1,0,0,1.0,-0.5,-0.33333333333333337,0.5,1.0,-1.0,0.1428571428571428,0.0,0,0,0,-0.33333333333333337,0.5,-1.0,0,0
11051,-0.8181818181818181,1.0,0.33333333333333326,2,1,0.33333333333333326,-0.8181818181818181,1.0,1,2,-0.40625,0,2,1,-0.19999999999999996,-0.5,0.9999999999999999,0.5,1.0,-1.0,0.4285714285714284,0.0,0,0,0,0.33333333333333326,0.5,-1.0,2,0
7526,0.6363636363636365,0.0,1.0,9,1,0.33333333333333326,0.6363636363636365,0.0,1,1,-0.03125,0,2,1,-1.0,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,2,0
5641,-0.4545454545454546,0.5,-0.33333333333333337,6,1,0.6666666666666665,-0.4545454545454546,1.0,1,1,-0.0625,0,2,1,-1.0,-0.5,0.33333333333333337,0.5,1.0,0.33333333333333326,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,2,0
8119,1.0,0.5,-0.6666666666666667,6,1,1.0,1.0,0.5,1,2,0.34375,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.7142857142857142,0.75,0,0,0,0.33333333333333326,0.5,-1.0,2,0
3049,1.0,0.0,0.33333333333333326,6,1,1.0,1.0,0.5,0,2,-0.25,1,0,0,-0.6,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,0.33333333333333326,0.5,-1.0,0,0
11892,0.2727272727272727,0.0,-0.6666666666666667,6,1,1.0,0.2727272727272727,0.0,1,1,0.46875,0,2,1,-1.0,-0.5,0.9999999999999999,0.5,1.0,0.33333333333333326,0.4285714285714284,0.75,0,0,0,1.0,0.5,-1.0,2,0
8385,-0.2727272727272727,0.5,-0.6666666666666667,6,1,0.6666666666666665,-0.2727272727272727,0.5,1,2,-0.78125,0,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.1428571428571428,-0.25,1,0,0,1.0,0.5,-1.0,1,0
1379,0.8181818181818183,0.5,1.0,16,1,-0.33333333333333337,0.6363636363636365,-1.0,1,1,-0.09375,0,2,1,-1.0,-0.5,-1.0,0.5,1.0,-1.0,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,2,0
7059,-0.2727272727272727,-0.5,0.6666666666666665,6,1,1.0,-0.2727272727272727,-0.5,0,1,-0.21875,1,1,0,-0.6,-0.5,-1.0,0.5,1.0,1.0,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,1,0
11853,0.2727272727272727,0.0,1.0,0,0,1.0,0.2727272727272727,0.5,1,1,-0.28125,0,0,0,-0.6,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.25,0,0,0,1.0,0.5,-1.0,0,0
13900,-0.6363636363636364,0.5,0.6666666666666665,9,1,0.33333333333333326,0.8181818181818183,-1.0,1,1,0.1875,0,5,2,1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.4285714285714284,0.5,0,0,0,0.33333333333333326,0.5,-1.0,0,0
4760,-0.8181818181818181,0.0,-1.0,0,1,-0.33333333333333337,-0.8181818181818181,0.5,1,1,-0.03125,0,0,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.5,0,0,0,1.0,0.5,-1.0,0,0
14975,-0.6363636363636364,-0.5,0.6666666666666665,16,1,0.6666666666666665,-0.6363636363636364,-0.5,1,1,-0.6875,0,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,-0.1428571428571429,0.0,0,0,0,1.0,0.5,-1.0,1,0
5837,-0.09090909090909083,0.0,-1.0,16,1,0.6666666666666665,-0.09090909090909083,0.5,0,1,-0.03125,1,1,0,-0.6,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.7142857142857142,0.5,0,0,0,0.33333333333333326,0.5,-1.0,1,0
7589,-0.8181818181818181,-0.5,0.33333333333333326,16,1,-1.0,-0.8181818181818181,-0.5,1,2,-0.75,0,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,-1.0,-0.1428571428571429,-0.25,0,0,0,0.33333333333333326,0.5,-1.0,1,0
3791,0.4545454545454546,0.5,0.33333333333333326,12,0,-1.0,0.4545454545454546,0.5,1,1,-0.28125,0,2,1,-0.6,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,0.33333333333333326,0.5,-1.0,2,0
620,0.4545454545454546,0.5,-0.33333333333333337,9,1,0.6666666666666665,0.09090909090909083,0.0,1,1,0.125,0,1,0,-0.19999999999999996,1.0,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,1,0
652,0.8181818181818183,1.0,-0.33333333333333337,12,1,1.0,0.6363636363636365,-1.0,1,1,-0.6875,0,0,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,0,0
7182,0.4545454545454546,0.5,1.0,5,1,-0.6666666666666667,0.4545454545454546,1.0,1,1,0.1875,0,0,0,-1.0,-0.5,-1.0,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,-1.0,0.0,-0.5,0,0
15094,0.8181818181818183,0.0,1.0,6,1,1.0,0.8181818181818183,0.5,1,1,-0.5625,1,1,0,-1.0,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,1,0
3474,0.2727272727272727,-1.0,-1.0,2,1,-1.0,0.2727272727272727,0.0,1,2,-0.65625,0,5,2,1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0,0,0,-1.0,0.5,-1.0,0,0
12696,0.4545454545454546,-1.0,-0.6666666666666667,16,1,1.0,0.4545454545454546,-1.0,0,1,-0.5,1,2,1,-1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,2,0
7310,-0.09090909090909083,-1.0,0.6666666666666665,12,1,0.6666666666666665,-0.09090909090909083,-1.0,1,1,-0.53125,0,2,1,1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0,0,0,0.33333333333333326,0.5,-1.0,2,0
7232,0.8181818181818183,0.0,-0.33333333333333337,12,1,1.0,0.8181818181818183,0.0,1,2,-0.78125,1,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,-1.0,-0.4285714285714286,-0.25,0,0,0,1.0,0.5,-1.0,1,0
5020,0.8181818181818183,-1.0,0.33333333333333326,16,1,0.33333333333333326,0.8181818181818183,-0.5,1,1,0.0,0,1,0,-0.6,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.5,0,0,0,1.0,0.5,-1.0,1,0
9378,-0.8181818181818181,-1.0,-0.33333333333333337,2,0,1.0,-0.8181818181818181,-0.5,1,1,0.125,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,1.0,0.4285714285714284,0.5,0,0,0,-1.0,0.5,-1.0,2,0
12332,-0.09090909090909083,-1.0,0.33333333333333326,9,1,-1.0,-0.09090909090909083,-0.5,1,2,-0.75,1,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,-0.1428571428571429,-0.25,0,0,0,1.0,0.5,-1.0,1,0
2517,0.4545454545454546,0.0,-0.6666666666666667,12,1,-0.6666666666666667,0.4545454545454546,0.0,1,1,0.125,0,2,1,-0.6,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.7142857142857142,0.5,0,0,0,0.33333333333333326,0.5,-1.0,2,0
7792,-0.8181818181818181,0.0,-0.6666666666666667,16,1,0.33333333333333326,-0.8181818181818181,0.0,0,2,-0.625,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0,0,0,-0.33333333333333337,0.5,-1.0,1,0
12607,-1.0,0.5,0.6666666666666665,6,1,-0.6666666666666667,0.4545454545454546,0.0,1,1,-0.65625,1,0,0,-1.0,-0.5,-1.0,0.5,1.0,-1.0,0.1428571428571428,0.0,0,0,0,1.0,0.5,-1.0,0,0
8352,-0.6363636363636364,-1.0,-1.0,6,1,-1.0,-0.6363636363636364,0.0,0,1,-0.21875,0,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,0.33333333333333326,0.5,-1.0,1,1
13688,-0.09090909090909083,0.5,-1.0,6,1,0.6666666666666665,-0.09090909090909083,0.5,1,1,-0.21875,0,1,0,-0.6,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,1.0,0.5,-1.0,1,1
8460,0.2727272727272727,-1.0,0.33333333333333326,9,1,0.6666666666666665,0.2727272727272727,-0.5,1,1,0.28125,1,1,0,-0.6,-0.5,-1.0,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.75,0,0,0,1.0,0.5,-1.0,1,0
11104,0.2727272727272727,0.5,-0.6666666666666667,9,1,0.6666666666666665,0.2727272727272727,1.0,1,2,-0.71875,0,1,0,-1.0,-0.5,0.9999999999999999,0.5,1.0,1.0,-0.1428571428571429,-0.25,0,0,0,1.0,0.5,-1.0,1,1
8255,-0.09090909090909083,-0.5,1.0,16,1,0.6666666666666665,-0.09090909090909083,0.0,1,1,0.40625,1,0,0,0.6000000000000001,-0.5,-0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.75,0,0,0,1.0,0.5,-1.0,0,0
3604,0.2727272727272727,0.0,-0.33333333333333337,16,1,0.6666666666666665,0.2727272727272727,0.5,1,1,0.34375,1,0,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.75,0,0,0,1.0,0.5,-1.0,0,0
6689,0.6363636363636365,0.0,-1.0,12,1,-0.6666666666666667,0.6363636363636365,0.0,1,1,-0.28125,0,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,0,-1.0,0.5,-1.0,1,0
14656,-0.4545454545454546,0.0,-0.6666666666666667,16,1,-1.0,-0.4545454545454546,0.0,1,1,-0.34375,1,2,1,-1.0,-0.5,0.33333333333333337,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,0,0,1,0.33333333333333326,0.5,-1.0,2,0
5791,-1.0,0.5,-0.6666666666666667,6,1,1.0,-1.0,0.5,1,1,-0.15625,0,2,1,-1.0,-0.5,-0.33333333333333337,0.5,1.0,0.33333333333333326,0.4285714285714284,0.25,0,0,0,-1.0,0.5,-1.0,2,0
9218,-0.09090909090909083,0.0,0.33333333333333326,2,1,-1.0,-0.09090909090909083,0.5,1,1,0.375,0,0,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.75,0,0,0,0.33333333333333326,0.5,-1.0,0,0
1506,-0.8181818181818181,-0.5,-1.0,9,1,0.6666666666666665,1.0,-1.0,1,1,-0.15625,0,1,0,-1.0,-0.5,-1.0,0.5,1.0,0.33333333333333326,0.4285714285714284,0.25,0,0,0,-0.33333333333333337,0.5,-1.0,1,0
6439,0.09090909090909083,0.5,-1.0,6,1,0.6666666666666665,0.09090909090909083,1.0,1,1,0.0,1,0,0,-0.6,-0.5,0.33333333333333337,0.5,1.0,1.0,0.7142857142857142,0.5,0,0,0,0.33333333333333326,0.5,-1.0,0,0
13372,-0.09090909090909083,-0.5,-1.0,6,0,-0.6666666666666667,-0.09090909090909083,-0.5,1,1,-0.03125,1,1,0,-1.0,-0.5,0.33333333333333337,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.5,1,0,0,-0.33333333333333337,0.5,-1.0,1,0
5583,-0.8181818181818181,-0.5,0.6666666666666665,12,1,0.33333333333333326,0.8181818181818183,0.0,1,2,-0.8125,1,1,0,-1.0,-0.5,-0.33333333333333337,0.5,1.0,-1.0,-0.1428571428571429,-0.25,0,0,0,1.0,0.5,-1.0,1,0
11242,-0.8181818181818181,-1.0,-0.33333333333333337,16,1,-1.0,-0.8181818181818181,-0.5,1,1,0.09375,0,2,1,-0.6,-0.5,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.5,0,0,0,1.0,0.5,-1.0,2,0
