,FraudFound_P,Month,DayOfWeek,Make,DayOfWeekClaimed,MonthClaimed,MaritalStatus,PolicyType,VehicleCategory,VehiclePrice,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,AccidentArea,Sex,Fault,PoliceReportFiled,WitnessPresent,AgentType,WeekOfMonth,WeekOfMonthClaimed,Age,Deductible,DriverRating
21,0,-0.2727272727272727,-0.33333333333333337,-0.7777777777777778,-0.6666666666666667,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.5,1.0,0.0,-0.5,0.0,1,1,0,0,0,0,-0.5,-0.5,-0.03125,-0.5,-0.33333333333333326
22,0,-0.8181818181818181,0.0,0.0,0.33333333333333326,-0.8181818181818181,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.75,-1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.0,1.0,0.46875,-0.5,0.3333333333333335
23,0,0.09090909090909083,-0.33333333333333337,0.4444444444444444,0.6666666666666665,0.09090909090909083,0.33333333333333326,-0.5,0.0,-0.6,0.5,1.0,1.0,0.1428571428571428,0.0,-0.33333333333333337,0.5,-1.0,1.0,1,1,1,0,0,0,0.0,0.0,-0.53125,-0.5,0.3333333333333335
24,0,1.0,-1.0,0.0,-1.0,1.0,-0.33333333333333337,-1.0,-1.0,1.0,0.5,1.0,0.33333333333333326,0.7142857142857142,0.25,1.0,0.5,-1.0,-1.0,1,1,0,1,0,0,0.0,0.0,-0.09375,-0.5,0.3333333333333335
25,0,0.2727272727272727,-0.6666666666666667,0.4444444444444444,0.6666666666666665,-1.0,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,0.33333333333333326,0.7142857142857142,0.75,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.0,-1.0,0.375,-0.5,1.0
26,0,0.2727272727272727,0.33333333333333326,-0.33333333333333337,0.33333333333333326,0.09090909090909083,-0.33333333333333337,-0.75,-1.0,-0.6,0.5,1.0,0.33333333333333326,-0.1428571428571429,-0.25,0.33333333333333326,0.5,-1.0,0.0,1,1,0,0,0,0,0.0,0.5,-0.84375,-0.5,-0.33333333333333326
27,0,0.4545454545454546,0.0,-1.0,-1.0,0.4545454545454546,-0.33333333333333337,-1.0,-1.0,-0.6,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,-1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,0.0,0.5,-0.1875,-0.5,0.3333333333333335
28,1,-0.09090909090909083,-0.33333333333333337,-0.33333333333333337,0.6666666666666665,1.0,0.33333333333333326,-1.0,-1.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,-1.0,0.5,-0.984375,-0.5,-0.9999999999999999
29,0,0.4545454545454546,-0.6666666666666667,0.0,1.0,0.4545454545454546,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.4285714285714284,0.25,1.0,0.5,-1.0,0.0,1,0,0,0,0,0,0.0,0.5,-0.28125,-0.5,0.3333333333333335
30,0,0.2727272727272727,-1.0,-0.6666666666666667,-0.33333333333333337,0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-0.6,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.5,1.0,0.5,-1.0,0.0,1,1,0,0,0,1,-0.5,-0.5,-0.03125,-0.5,-0.9999999999999999
31,0,0.2727272727272727,0.0,-0.33333333333333337,0.6666666666666665,0.2727272727272727,0.33333333333333326,-0.75,-1.0,1.0,0.5,1.0,-1.0,1.0,-1.0,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,-0.5,-0.984375,-0.5,-0.9999999999999999
32,0,0.2727272727272727,1.0,-0.7777777777777778,1.0,0.2727272727272727,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,0.33333333333333326,0.4285714285714284,0.25,-0.33333333333333337,0.5,-1.0,0.0,1,1,0,0,0,0,-0.5,-0.5,-0.1875,-0.5,0.3333333333333335
33,0,-0.2727272727272727,-0.6666666666666667,-0.33333333333333337,0.6666666666666665,-0.2727272727272727,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.1428571428571428,0.0,-1.0,0.5,-1.0,0.0,1,1,1,0,0,0,0.5,0.5,-0.5625,-0.5,1.0
34,0,-0.2727272727272727,0.6666666666666665,-0.4444444444444444,1.0,-0.2727272727272727,-0.33333333333333337,0.5,1.0,1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,0.5,0.5,-0.1875,-0.5,-0.9999999999999999
35,0,0.8181818181818183,1.0,-0.7777777777777778,0.33333333333333326,0.8181818181818183,0.33333333333333326,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0.33333333333333326,0.5,-1.0,1.0,1,1,1,0,0,0,-0.5,-0.5,-0.4375,-0.5,0.3333333333333335
36,0,0.8181818181818183,0.6666666666666665,-0.33333333333333337,0.33333333333333326,0.8181818181818183,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.1428571428571428,0.0,0.33333333333333326,0.5,-1.0,0.0,1,1,1,0,0,0,-0.5,0.0,-0.5625,-0.5,1.0
37,0,1.0,-1.0,0.0,-1.0,1.0,0.33333333333333326,-0.75,-1.0,-0.6,0.5,1.0,1.0,0.4285714285714284,0.0,0.33333333333333326,0.5,-1.0,0.0,1,1,0,0,0,0,-0.5,0.0,-0.65625,-0.5,-0.33333333333333326
38,0,0.6363636363636365,0.6666666666666665,-0.33333333333333337,0.33333333333333326,0.6363636363636365,-0.33333333333333337,0.0,0.0,1.0,0.5,1.0,1.0,0.7142857142857142,0.5,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,0.5,0.5,0.21875,-0.5,-0.9999999999999999
39,0,0.6363636363636365,0.33333333333333326,0.8888888888888888,0.6666666666666665,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.4285714285714284,0.0,-1.0,0.5,-1.0,0.0,1,1,0,0,0,0,0.5,-1.0,-0.40625,-0.5,0.3333333333333335
40,0,0.2727272727272727,1.0,-0.7777777777777778,1.0,-1.0,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,0.33333333333333326,0.5,-1.0,0.0,1,0,0,0,0,0,0.5,-1.0,-0.40625,-0.5,-0.9999999999999999
41,0,0.2727272727272727,-1.0,0.4444444444444444,1.0,0.2727272727272727,-0.33333333333333337,-1.0,-1.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,-0.33333333333333337,0.5,0.0,-1.0,1,1,0,0,0,0,0.0,0.5,-0.125,-0.5,-0.9999999999999999
42,0,-0.09090909090909083,-0.6666666666666667,0.8888888888888888,-0.6666666666666667,-0.09090909090909083,0.33333333333333326,-0.5,0.0,-1.0,0.5,1.0,1.0,-0.4285714285714286,0.25,1.0,0.0,-0.5,1.0,1,0,0,0,0,0,-1.0,-1.0,-0.1875,-0.5,1.0
43,0,-0.2727272727272727,0.6666666666666665,-0.33333333333333337,-0.6666666666666667,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,-1.0,0.5,-1.0,0.0,1,1,0,0,0,0,0.0,0.5,-0.21875,-0.5,-0.33333333333333326
44,0,-0.2727272727272727,1.0,0.8888888888888888,1.0,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.7142857142857142,1.0,1.0,0.5,-1.0,0.0,1,1,1,0,0,0,0.0,0.5,0.75,-0.5,-0.9999999999999999
45,0,-0.4545454545454546,1.0,0.4444444444444444,0.33333333333333326,-0.4545454545454546,-0.33333333333333337,-1.0,-1.0,0.6000000000000001,0.5,1.0,-0.33333333333333337,-0.1428571428571429,0.0,1.0,0.5,-1.0,-1.0,1,0,1,0,0,0,-0.5,-0.5,-0.59375,-0.5,0.3333333333333335
46,0,-0.4545454545454546,0.33333333333333326,0.4444444444444444,-0.6666666666666667,-0.4545454545454546,0.33333333333333326,-0.75,-1.0,-0.6,0.5,1.0,1.0,0.1428571428571428,0.0,1.0,0.5,-1.0,0.0,1,1,1,0,0,1,-0.5,0.0,-0.5,-0.5,1.0
47,0,0.6363636363636365,0.33333333333333326,0.0,-1.0,0.6363636363636365,-0.33333333333333337,-0.5,0.0,-0.6,0.5,1.0,-0.33333333333333337,-0.1428571428571429,0.25,0.33333333333333326,0.5,-1.0,1.0,1,1,0,0,0,0,0.5,0.5,-0.34375,-0.5,0.3333333333333335
48,0,-1.0,0.33333333333333326,-0.7777777777777778,0.33333333333333326,0.4545454545454546,-0.33333333333333337,-0.5,0.0,1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.25,-0.33333333333333337,0.5,-1.0,1.0,1,0,0,0,0,0,0.0,-1.0,-0.34375,-0.5,-0.9999999999999999
49,0,-1.0,-1.0,0.4444444444444444,0.6666666666666665,-1.0,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,0.33333333333333326,0.7142857142857142,0.75,-0.33333333333333337,0.5,-1.0,0.0,1,1,0,0,0,0,0.0,0.0,0.34375,-0.5,1.0
50,0,0.4545454545454546,-1.0,0.4444444444444444,-1.0,0.4545454545454546,-0.33333333333333337,-0.5,0.0,-0.6,0.5,1.0,0.33333333333333326,0.7142857142857142,0.5,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.5,0.5,0.03125,-0.5,-0.33333333333333326
51,0,0.09090909090909083,1.0,0.4444444444444444,-1.0,0.09090909090909083,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,-0.33333333333333337,-0.5,-1.0,1.0,1,1,0,0,0,0,0.5,0.5,-0.65625,0.0,0.3333333333333335
52,1,-0.09090909090909083,0.0,-0.33333333333333337,1.0,-0.2727272727272727,-0.33333333333333337,0.0,0.0,1.0,0.5,1.0,1.0,-0.4285714285714286,-0.25,-0.33333333333333337,0.5,-1.0,0.0,0,1,0,0,0,0,0.0,0.5,-0.84375,-0.5,1.0
53,1,-0.09090909090909083,-0.33333333333333337,-0.33333333333333337,1.0,-0.8181818181818181,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.7142857142857142,0.5,-0.33333333333333337,0.5,-1.0,0.0,1,1,0,0,0,0,0.5,-0.5,0.0625,-0.5,-0.9999999999999999
54,0,0.09090909090909083,0.6666666666666665,0.4444444444444444,0.6666666666666665,0.09090909090909083,0.33333333333333326,-0.75,-1.0,-0.6,0.5,1.0,-1.0,0.4285714285714284,0.25,-1.0,0.5,-1.0,0.0,1,1,0,0,0,0,0.5,0.5,-0.09375,-0.5,-0.9999999999999999
55,0,-0.6363636363636364,-0.6666666666666667,0.0,1.0,-0.6363636363636364,-0.33333333333333337,-1.0,-1.0,-1.0,0.5,1.0,1.0,0.7142857142857142,0.5,-0.33333333333333337,0.5,-1.0,-1.0,1,1,1,0,0,0,0.0,0.0,0.03125,-0.5,1.0
56,0,0.09090909090909083,-1.0,-0.33333333333333337,0.33333333333333326,0.09090909090909083,0.33333333333333326,-1.0,-1.0,-1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.0,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,0.5,1.0,-0.5625,-0.5,1.0
57,0,0.6363636363636365,-1.0,-1.0,-0.6666666666666667,0.6363636363636365,0.33333333333333326,-0.75,-1.0,1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-0.5,-0.5,-0.34375,-0.5,0.3333333333333335
58,0,0.4545454545454546,-0.6666666666666667,-0.33333333333333337,1.0,0.4545454545454546,0.33333333333333326,-0.5,0.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,0.5,-1.0,1.0,0,1,0,0,0,0,-1.0,0.5,-0.984375,-0.5,1.0
59,0,0.4545454545454546,1.0,-0.7777777777777778,-0.6666666666666667,0.4545454545454546,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.1428571428571428,0.0,-1.0,0.5,-1.0,0.0,1,0,0,0,0,0,-1.0,-0.5,-0.65625,-0.5,1.0
60,0,0.6363636363636365,-0.6666666666666667,0.8888888888888888,-0.6666666666666667,0.6363636363636365,0.33333333333333326,-1.0,-1.0,-0.6,0.5,1.0,1.0,-0.1428571428571429,0.0,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,-1.0,0.0,-0.5625,-0.5,1.0
61,0,1.0,0.6666666666666665,0.4444444444444444,-1.0,-0.2727272727272727,-0.33333333333333337,0.75,1.0,-0.19999999999999996,0.5,1.0,1.0,0.7142857142857142,0.5,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-0.5,0.5,0.03125,-0.5,1.0
62,0,0.6363636363636365,0.0,-0.33333333333333337,-1.0,-0.2727272727272727,0.33333333333333326,-1.0,-1.0,1.0,0.5,1.0,-0.33333333333333337,1.0,-1.0,1.0,0.5,-1.0,-1.0,1,1,1,0,0,0,0.5,0.0,-0.984375,-0.5,-0.33333333333333326
63,0,-0.4545454545454546,-0.6666666666666667,0.8888888888888888,0.6666666666666665,0.2727272727272727,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0.33333333333333326,0.0,-0.5,1.0,1,1,0,0,0,0,1.0,-1.0,-0.6875,-0.5,0.3333333333333335
64,0,-0.6363636363636364,-1.0,0.4444444444444444,0.6666666666666665,-0.6363636363636364,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,1.0,0.4285714285714284,0.5,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,-0.5,0.0,-0.5,-0.9999999999999999
65,0,-0.6363636363636364,-1.0,0.0,-0.6666666666666667,-0.2727272727272727,0.33333333333333326,-1.0,-1.0,-1.0,0.5,1.0,1.0,0.4285714285714284,0.0,1.0,0.5,-1.0,-1.0,1,1,0,0,0,0,0.5,-0.5,-0.53125,-0.5,0.3333333333333335
66,0,0.2727272727272727,-1.0,0.2222222222222221,-1.0,0.2727272727272727,0.33333333333333326,-0.75,-1.0,1.0,0.5,1.0,-1.0,0.4285714285714284,0.25,0.33333333333333326,0.5,-1.0,0.0,1,1,1,0,0,0,0.0,0.0,-0.25,-0.5,-0.33333333333333326
67,0,-0.8181818181818181,0.33333333333333326,0.0,-0.6666666666666667,-0.8181818181818181,-0.33333333333333337,-0.5,0.0,-0.6,0.5,1.0,-0.33333333333333337,0.7142857142857142,0.75,0.33333333333333326,0.5,-1.0,1.0,1,1,0,0,0,0,0.5,1.0,0.53125,-0.5,-0.9999999999999999
68,0,-0.2727272727272727,0.0,0.8888888888888888,0.6666666666666665,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.75,1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,-1.0,0.5,-0.5,-0.9999999999999999
69,0,-0.2727272727272727,0.0,-0.33333333333333337,1.0,-0.2727272727272727,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.5,0.33333333333333326,0.5,-1.0,1.0,1,1,0,0,0,0,-1.0,-1.0,0.21875,-0.5,-0.33333333333333326
70,0,-0.2727272727272727,0.0,-0.33333333333333337,1.0,-0.2727272727272727,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.25,-0.33333333333333337,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,-1.0,-0.125,-0.5,-0.9999999999999999
71,0,-0.2727272727272727,0.6666666666666665,0.0,0.33333333333333326,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-1.0,0.1428571428571428,0.0,-1.0,0.5,-1.0,0.0,1,1,0,0,0,0,-1.0,-1.0,-0.65625,-0.5,0.3333333333333335
72,0,1.0,0.33333333333333326,-0.7777777777777778,-0.6666666666666667,-0.2727272727272727,0.33333333333333326,-0.75,-1.0,-1.0,-0.5,1.0,-1.0,-0.1428571428571429,0.0,1.0,0.5,-1.0,0.0,1,0,1,0,0,0,0.5,1.0,-0.625,-0.5,0.3333333333333335
73,0,-0.2727272727272727,-0.6666666666666667,-0.33333333333333337,0.6666666666666665,-0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-1.0,0.5,1.0,-1.0,0.7142857142857142,0.5,0.33333333333333326,0.5,-1.0,0.0,1,1,1,0,0,0,-1.0,-1.0,-0.03125,-0.5,-0.33333333333333326
74,0,-1.0,-0.33333333333333337,0.0,0.6666666666666665,0.4545454545454546,-0.33333333333333337,-0.75,-1.0,1.0,0.5,1.0,0.33333333333333326,0.4285714285714284,0.75,0.33333333333333326,0.5,-1.0,0.0,1,1,1,0,0,0,1.0,-1.0,0.375,-0.5,0.3333333333333335
75,0,-0.8181818181818181,-0.33333333333333337,-0.4444444444444444,1.0,-0.8181818181818181,-0.33333333333333337,-0.75,-1.0,-0.6,0.5,1.0,0.33333333333333326,0.1428571428571428,0.0,1.0,0.5,-1.0,0.0,1,1,1,0,0,0,-1.0,0.5,-0.46875,-0.5,1.0
76,0,0.8181818181818183,0.6666666666666665,-0.7777777777777778,-0.6666666666666667,-0.2727272727272727,-0.33333333333333337,-1.0,-1.0,-1.0,0.5,1.0,1.0,0.1428571428571428,0.0,1.0,0.5,-1.0,-1.0,1,1,1,0,0,0,0.5,-1.0,-0.65625,-0.5,0.3333333333333335
77,0,-0.4545454545454546,-1.0,-0.33333333333333337,0.6666666666666665,-0.4545454545454546,-0.33333333333333337,0.0,0.0,1.0,0.5,1.0,1.0,0.7142857142857142,0.5,1.0,0.5,-1.0,0.0,1,0,1,0,0,0,-0.5,0.0,-0.03125,-0.5,0.3333333333333335
78,0,-0.4545454545454546,-1.0,-0.22222222222222232,0.6666666666666665,-0.4545454545454546,0.33333333333333326,-0.5,0.0,-0.6,0.5,1.0,-0.33333333333333337,-0.1428571428571429,0.0,-0.33333333333333337,0.5,-1.0,1.0,0,0,0,0,0,0,-0.5,0.0,-0.59375,-0.5,-0.9999999999999999
79,0,-0.4545454545454546,-0.33333333333333337,0.8888888888888888,-1.0,0.2727272727272727,-0.33333333333333337,-0.75,-1.0,-0.6,0.5,1.0,-0.33333333333333337,0.4285714285714284,0.0,0.33333333333333326,0.5,-1.0,0.0,1,0,1,0,0,0,0.5,-1.0,-0.46875,-0.5,-0.9999999999999999
80,0,-0.2727272727272727,1.0,0.4444444444444444,1.0,-0.2727272727272727,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,-0.33333333333333337,0.1428571428571428,0.25,1.0,0.5,-1.0,1.0,1,1,0,0,0,0,0.0,0.0,-0.3125,-0.5,1.0
81,0,-0.2727272727272727,0.33333333333333326,0.0,-1.0,-0.2727272727272727,0.33333333333333326,-0.5,0.0,-1.0,0.5,1.0,-1.0,0.4285714285714284,0.25,1.0,0.5,-1.0,1.0,1,1,1,0,0,0,0.0,0.5,-0.34375,-0.5,-0.33333333333333326
82,0,-0.6363636363636364,-1.0,-0.7777777777777778,0.33333333333333326,-1.0,-0.33333333333333337,-1.0,-1.0,1.0,0.5,1.0,1.0,0.4285714285714284,0.25,1.0,0.5,0.0,-1.0,1,1,1,0,0,0,-0.5,0.0,-0.375,-0.5,1.0
83,0,0.6363636363636365,0.6666666666666665,0.8888888888888888,-1.0,-0.4545454545454546,-0.33333333333333337,-0.5,0.0,-1.0,0.5,1.0,1.0,0.1428571428571428,0.25,-1.0,0.5,-1.0,1.0,1,0,0,0,0,0,1.0,-1.0,-0.125,-0.5,1.0
84,0,-0.6363636363636364,1.0,-0.33333333333333337,-0.6666666666666667,-0.2727272727272727,0.33333333333333326,-0.5,0.0,1.0,0.5,1.0,0.33333333333333326,1.0,-1.0,1.0,0.0,-0.5,1.0,1,1,0,0,0,0,-1.0,-1.0,-0.984375,-0.5,-0.33333333333333326
85,0,-0.6363636363636364,0.6666666666666665,-0.7777777777777778,0.6666666666666665,0.2727272727272727,-0.33333333333333337,1.0,1.0,1.0,0.5,1.0,-1.0,0.1428571428571428,0.0,0.33333333333333326,0.5,-1.0,1.0,0,1,0,0,0,0,-0.5,-1.0,-0.65625,-0.5,1.0
86,0,0.4545454545454546,0.6666666666666665,0.8888888888888888,1.0,0.4545454545454546,0.33333333333333326,-0.75,-1.0,-1.0,0.5,1.0,-1.0,0.1428571428571428,0.0,0.33333333333333326,0.5,-1.0,0.0,1,1,0,0,0,0,0.5,0.5,-0.65625,-0.5,0.3333333333333335
87,0,0.4545454545454546,0.0,0.0,1.0,0.4545454545454546,0.33333333333333326,-1.0,-1.0,-1.0,0.5,1.0,-0.33333333333333337,-0.4285714285714286,0.25,0.33333333333333326,0.5,-1.0,-1.0,1,1,1,0,0,0,0.5,0.5,-0.28125,-0.5,-0.33333333333333326
88,0,0.8181818181818183,-0.33333333333333337,0.4444444444444444,-0.6666666666666667,0.8181818181818183,-0.33333333333333337,-1.0,-1.0,-0.6,0.5,1.0,1.0,0.4285714285714284,1.0,-0.33333333333333337,0.5,-1.0,-1.0,1,1,1,0,0,0,1.0,1.0,0.8125,-0.5,1.0
